agency_cd	site_no	datetime	tz_cd	01_00060	01_00060_cd	03_00065	03_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09073300	2015-05-01 00:00	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 00:15	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 00:30	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 00:45	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 01:00	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 01:15	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 01:30	MDT	52	P	1.38	P
USGS	09073300	2015-05-01 01:45	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 02:00	MDT	52	P	1.38	P
USGS	09073300	2015-05-01 02:15	MDT	52	P	1.38	P
USGS	09073300	2015-05-01 02:30	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 02:45	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 03:00	MDT	52	P	1.38	P
USGS	09073300	2015-05-01 03:15	MDT	52	P	1.38	P
USGS	09073300	2015-05-01 03:30	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 03:45	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 04:00	MDT	52	P	1.38	P
USGS	09073300	2015-05-01 04:15	MDT	52	P	1.38	P
USGS	09073300	2015-05-01 04:30	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 04:45	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 05:00	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 05:15	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 05:30	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 05:45	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 06:00	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 06:15	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 06:30	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 06:45	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 07:00	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 07:15	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 07:30	MDT	51	P	1.37	P
USGS	09073300	2015-05-01 07:45	MDT	50	P	1.36	P
